name_en,name_fr,serving_size,serving_size_fr,calories,fat,saturated_fat,trans_fat,polyunsaturated_fat,monounsaturated_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugars,protein,vitamin_d,calcium,iron,potassium,vitamin_a,vitamin_c,serving_size_100,calories_100,fat_100,saturated_fat_100,trans_fat_100,polyunsaturated_fat_100,monounsaturated_fat_100,cholesterol_100,sodium_100,carbohydrates_100,dietary_fiber_100,sugars_100,protein_100,vitamin_d_100,calcium_100,iron_100,potassium_100,vitamin_a_100,vitamin_c_100
2% Fat Milk,Lait 2% de matière grasse,1 cup,1 tasse,122,4.81,3.067,-,0.178,1.366,20,100,11.42,0,12.35,08.05,-,285,0.07,366,134,0.5,100 g,50,1.97,1.257,-,0.073,0.56,8,41,4.68,0,05.06,3.3,-,117,0.03,150,55,0.2
2% Milk American Cheese Singles,Fromage américain simple au lait 2 %,1 slice (19 g),1 tranche (19 g),45,2.50,1.500,0.000,-,-,10,220,2.00,0.0,2.00,-,-,-,-,-,-,-,1 slice (19 g),45,2.50,1.500,0.000,-,-,10,220,2.00,0.0,2.00,-,-,-,-,-,-,-
2% String Cheese,Fromage effiloché 2%,1 stick (28 g),1 bâton (28 g),60,4.50,2.500,0.000,-,-,15,190,0.00,0.0,0.00,7.00,-,-,-,-,-,-,1 stick (28 g),60,4.50,2.500,0.000,-,-,15,190,0.00,0.0,0.00,7.00,-,-,-,-,-,-
50% Reduced Fat Havarti Cheese,Fromage Havarti réduit à 50 % de matières grasses,1 oz (28 g),1 once (28 g),70,4.50,3.000,0.000,-,-,15,170,0.00,0.0,0.00,8.00,-,-,-,-,-,-,1 oz (28 g),70,4.50,3.000,0.000,-,-,15,170,0.00,0.0,0.00,8.00,-,-,-,-,-,-
73% Organic Dark Chocolate,Chocolat noir biologique 73%,4 sections (33 g),4 tranches (33 g),180,12.00,7.000,0.000,-,-,0,0,15.00,4.0,9.00,2.00,-,-,-,-,-,-,4 sections (33 g),180,12.00,7.000,0.000,-,-,0,0,15.00,4.0,9.00,2.00,-,-,-,-,-,-
99% Fat Free Ground Turkey,Dinde hachée sans gras à 99 %,4 oz  (112 g),4 onces (112 g),130,1.50,0.000,-,-,-,70,65,0.00,0.0,0.00,27.00,-,-,-,-,-,-,4 oz  (112 g),130,1.50,0.000,-,-,-,70,65,0.00,0.0,0.00,27.00,-,-,-,-,-,-
Acorn Winter Squash,Courge d'hiver poivrée,1 cup of cubed,1 tasse de cubes,56,0.14,0.029,-,0.059,0.01,0,4,14.59,2.1,-,1.12,-,46,0.98,486,25,15.4,100 g,40,0.1,0.021,-,0.042,0.007,0,3,10.42,1.5,-,0.8,-,33,0.7,347,18,11
Agar Seaweed,Algues Agar,100 g,100g,26,0.03,0.006,-,0.01,0.003,0,9,6.75,0.5,0.28,0.54,-,54,1.86,226,0,0,100 g,26,0.03,0.006,-,0.01,0.003,0,9,6.75,0.5,0.28,0.54,-,54,1.86,226,0,0
Agar Seaweed (Dried),Algues Agar (Séchées),1 oz,1 once,87,0.09,0.017,-,0.029,0.008,0,29,22.93,2.2,0.84,1.76,-,177,06.07,319,0,0,100 g,306,0.3,0.061,-,0.102,0.027,0,102,80.88,7.7,2.97,6.21,-,625,21.4,1125,0,0
Aged White Wine Vinegar,Vinaigre de vin blanc vieilli,1 tbsp (15 ml),1 cuillère à soupe (15 ml),0,0.00,-,-,-,-,0,0,0.00,0.0,0.00,0.00,-,-,-,-,-,-,1 tbsp (15 ml),0,0.00,-,-,-,-,0,0,0.00,0.0,0.00,0.00,-,-,-,-,-,-
Air Popped Popcorn,Maïs soufflé à l'air,1 cup,1 tasse,31,0.36,0.051,-,0.185,0.076,0,1,6.22,1.2,0.07,01.04,-,1,0.26,26,1,0,100 g,387,4.54,0.637,-,2.318,0.95,0,8,77.78,14.5,0.87,12.94,-,7,3.19,329,10,0
Alfalfa Seeds (Sprouted),Graines de luzerne (germées),1 cup,1 tasse,10,0.23,0.023,-,0.135,0.018,0,2,1.25,0.8,0.06,1.32,-,11,0.32,26,3,2.7,100 g,29,0.69,0.069,-,0.409,0.056,0,6,3.78,2.5,0.18,3.99,-,32,0.96,79,8,8.2
Alfalfa Sprouts,Germes de luzerne,100 g,100g,29,0.69,0.069,-,0.409,0.056,0,6,3.78,2.5,0.18,3.99,-,32,0.96,79,8,8.2,100 g,29,0.69,0.069,-,0.409,0.056,0,6,3.78,2.5,0.18,3.99,-,32,0.96,79,8,8.2
Alfalfa Sprouts,Germes de luzerne,1 oz (28 g),1 once (28 g),10,1.00,0.000,-,-,-,0,2,1.00,0.0,1.00,0.00,-,-,-,-,-,-,1 oz (28 g),10,1.00,0.000,-,-,-,0,2,1.00,0.0,1.00,0.00,-,-,-,-,-,-
Alfredo Sauce,Sauce d'Alfred,1 cup,1 tasse,996,99.82,62.624,-,3.521,27.977,323,1264,6.2,0,0.61,21.94,-,722,0.58,175,938,1,100 g,410,41.08,25.771,-,1.449,11.513,133,520,2.55,0,0.25,09.03,-,297,0.24,72,386,0.4
All Natural 100% Egg Whites,Blancs d'œufs 100 % naturels,3 tbsp (46 g),3 cuillères à soupe (46 g),25,0.00,0.000,0.000,0.000,0.000,0,75,0.00,0.0,0.00,-,-,-,-,-,-,-,3 tbsp (46 g),25,0.00,0.000,0.000,0.000,0.000,0,75,0.00,0.0,0.00,-,-,-,-,-,-,-
All Natural Barbecue Sauce,Sauce barbecue entièrement naturelle,2 tbsp (34 g),2 cuillères à soupe (34 g),45,0.00,0.000,0.000,-,-,0,330,11.00,0.0,9.00,0.00,-,-,-,-,-,-,2 tbsp (34 g),45,0.00,0.000,0.000,-,-,0,330,11.00,0.0,9.00,0.00,-,-,-,-,-,-
All Natural Focaccia Sticks,Bâtonnets de focaccia entièrement naturels,3 pieces (15 g),3 morceaux (15 g),70,4.00,0.000,-,-,-,0,170,7.00,0.0,0.00,1.00,-,-,-,-,-,-,3 pieces (15 g),70,4.00,0.000,-,-,-,0,170,7.00,0.0,0.00,1.00,-,-,-,-,-,-
Almond Breeze Original Unsweetened Non-Dairy Beverage,Boisson non laitière non sucrée originale Almond Breeze,1 cup (8 oz),1 tasse (8 onces),30,2.50,0.000,0.000,0.500,1.500,0,180,1.00,1.0,0.00,-,-,-,-,-,-,-,1 cup (8 oz),30,2.50,0.000,0.000,0.500,1.500,0,180,1.00,1.0,0.00,-,-,-,-,-,-,-
Almond Breeze Vanilla Unsweetened Non-Dairy Beverage,Boisson non laitière non sucrée à la vanille Almond Breeze,1 cup (8 oz),1 tasse (8 onces),30,2.50,0.000,0.000,0.500,1.500,0,180,1.00,1.0,0.00,-,-,-,-,-,-,-,1 cup (8 oz),30,2.50,0.000,0.000,0.500,1.500,0,180,1.00,1.0,0.00,-,-,-,-,-,-,-
Almond Brownie,Brownie aux amandes,1 bar (50 g),1 barre (50 g),200,7.00,2.000,0.000,-,-,0,140,21.00,2.0,17.00,15.00,-,-,-,320,-,-,1 bar (50 g),200,7.00,2.000,0.000,-,-,0,140,21.00,2.0,17.00,15.00,-,-,-,320,-,-
Almond Butter,Beurre d'amande,1 tbsp,1 cuillère à soupe,101,9.46,0.896,-,1.984,6.14,0,72,3.4,0.6,0.78,2.41,-,43,0.59,121,0,0.1,100 g,633,59.1,5.602,-,12.402,38.374,0,450,21.22,3.7,4.9,15.08,-,270,3.7,758,0,0.7
Almond Butter Nuts (with Salt Added),Noix au beurre d'amande (avec sel ajouté),100 g,100g,633,59.1,5.602,-,12.402,38.374,0,450,21.22,3.7,4.9,15.08,-,270,3.7,758,0,0.7,100 g,633,59.1,5.602,-,12.402,38.374,0,450,21.22,3.7,4.9,15.08,-,270,3.7,758,0,0.7
Almond Butter Nuts (Without Salt Added),Noix au beurre d'amande (sans sel ajouté),1 tbsp,1 cuillère à soupe,101,9.46,0.896,-,1.984,6.14,0,2,3.4,0.6,-,2.41,-,43,0.59,121,0,0.1,100 g,633,59.1,5.602,-,12.402,38.374,0,11,21.22,3.7,-,15.08,-,270,3.7,758,0,0.7
Almond Milk,Lait d'amande,1 cup,1 tasse,40,3.58,0.275,-,0.866,2.279,0,5,1.4,0.8,0.34,1.51,-,22,0.3,52,0,0,100 g,17,1.46,0.112,-,0.353,0.93,0,2,0.57,0.3,0.14,0.62,-,9,0.12,21,0,0
Almond Nut Paste,Pâte de noix d'amande,100 g,100g,458,27.74,2.629,-,5.821,18.012,0,9,47.81,4.8,36.25,9,-,172,1.6,314,0,0.1,100 g,458,27.74,2.629,-,5.821,18.012,0,9,47.81,4.8,36.25,9,-,172,1.6,314,0,0.1
Almond Paste (Marzipan Paste),Pâte d'amande (pâte de pâte d'amande),100 g,100g,458,27.74,2.629,-,5.821,18.012,0,9,47.81,4.8,36.25,9,-,172,1.6,314,0,0.1,100 g,458,27.74,2.629,-,5.821,18.012,0,9,47.81,4.8,36.25,9,-,172,1.6,314,0,0.1
Almonds,Amandes,1 almond,1 amande,7,0.61,0.047,-,0.147,0.386,0,0,0.24,0.1,0.06,0.26,-,3,0.05,9,0,0,100 g,578,50.64,3.881,-,12.214,32.155,0,1,19.74,11.8,4.8,21.26,-,248,4.3,728,0,0
American Cheese,Fromage Américain,1 slice (1 oz),1 tranche (1 once),96,7.39,4.417,-,0.31,2.115,23,368,1.97,0,1.83,5.37,-,161,0.15,77,59,0,100 g,337,26.05,15.581,-,1.092,7.462,82,1297,6.94,0,6.44,18.94,-,567,0.52,273,208,0
American Type Grapes (Slip Skin),Raisins de type américain (peau glissante),100 g,100g,67,0.35,0.114,-,0.102,0.014,0,2,17.15,0.9,16.25,0.63,-,14,0.29,191,5,4,100 g,67,0.35,0.114,-,0.102,0.014,0,2,17.15,0.9,16.25,0.63,-,14,0.29,191,5,4
Anchovies with Capers in Olive Oil,Anchois aux câpres à l'huile d'olive,6 pieces (15 g),6 pièces (15 g),25,1.00,0.000,0.000,-,-,15,900,0.00,0.0,0.00,4.00,-,-,-,-,-,-,6 pieces (15 g),25,1.00,0.000,0.000,-,-,15,900,0.00,0.0,0.00,4.00,-,-,-,-,-,-
Anchovy (Drained Solids In Oil Canned),Anchois (solides égouttés dans l'huile en conserve),5 anchovies,5 anchois,42,1.94,0.441,-,0.512,0.754,17,734,0,0,0,5.78,-,46,0.93,109,2,0,100 g,210,9.71,2.203,-,2.562,3.77,85,3668,0,0,0,28.89,-,232,4.63,544,12,0
Anytime Selections Fiesta Quesadilla,Quesadilla Fiesta Sélections à tout moment,1 quesadilla  (226 g),1 quesadilla (226 g),230,5.00,3.000,0.000,0.500,1.500,10,610,35.00,9.0,1.00,10.00,-,-,-,-,-,-,1 quesadilla  (226 g),230,5.00,3.000,0.000,0.500,1.500,10,610,35.00,9.0,1.00,10.00,-,-,-,-,-,-
Apple Banana,Pomme Banane,1 fruit,1 fruit,65,0.24,0.082,-,0.053,0.023,0,1,16.67,1.9,8.93,0.8,-,4,0.19,261,2,6.4,100 g,89,0.33,0.112,-,0.073,0.032,0,1,22.84,2.6,12.23,01.09,-,5,0.26,358,3,8.7
Apple Cider,Cidre,1 cup,1 tasse,117,0.27,0.047,-,0.082,0.012,0,7,28.97,0.2,27.03,0.15,-,17,0.92,295,0,2.2,100 g,47,0.11,0.019,-,0.033,0.005,0,3,11.68,0.1,10.9,0.06,-,7,0.37,119,0,0.9
Apple Cider,Cidre,8 fl oz (240 ml),8 onces liquides (240 ml),120,0.00,0.000,-,-,-,-,25,28.00,0.0,27.00,1.00,-,-,-,230,-,-,8 fl oz (240 ml),120,0.00,0.000,-,-,-,-,25,28.00,0.0,27.00,1.00,-,-,-,230,-,-
Apple Cobbler,Cordonnier aux pommes,1 cup,1 tasse,430,11.44,2.634,-,3.311,4.804,4,427,79.07,2,50.3,4.97,-,165,1.74,174,33,2.6,100 g,198,5.27,1.214,-,1.526,2.214,2,197,36.44,0.9,23.18,2.29,-,76,0.8,80,15,1.2
Apple Cranberry Chutney,Chutney de pommes et de canneberges,1 tbsp (15 g),1 cuillère à soupe (15 g),30,0.00,0.000,-,-,-,-,5,8.00,0.0,8.00,0.00,-,-,-,-,-,-,1 tbsp (15 g),30,0.00,0.000,-,-,-,-,5,8.00,0.0,8.00,0.00,-,-,-,-,-,-
Apple Croissants,Croissants aux pommes,1 medium,1 médium,145,4.96,2.847,-,0.358,1.364,18,156,21.15,1.4,-,4.22,-,17,0.63,51,54,0.3,100 g,254,8.7,4.994,-,0.628,2.393,31,274,37.1,2.5,-,7.4,-,30,1.1,90,94,0.5
Apple Fritter,Beignet aux pommes,"1 fritter (2-1/2"" long x 1-5/8"" wide)","1 beignet (2-1/2"" de long x 1-5/8"" de large)",61,3.91,0.862,-,1.129,1.688,14,7,5.54,0.2,2.26,01.03,-,9,0.26,22,7,0.2,100 g,358,23.02,5.073,-,6.642,9.93,84,40,32.58,1.2,13.31,06.05,-,53,1.51,132,42,1.2
Apple Grape Juice,Jus de pomme et de raisin,1 cup,1 tasse,129,0.24,0.051,-,0.071,0.01,0,7,31.7,0.2,30.45,0.63,-,20,0.78,303,0,1.5,100 g,53,0.1,0.021,-,0.029,0.004,0,3,12.99,0.1,12.48,0.26,-,8,0.32,124,0,0.6
Apple Juice,Jus de pomme,1 cup,1 tasse,117,0.27,0.047,-,0.082,0.012,0,7,28.97,0.2,27.03,0.15,-,17,0.92,295,0,27.5,100 g,47,0.11,0.019,-,0.033,0.005,0,3,11.68,0.1,10.9,0.06,-,7,0.37,119,0,11.1
Apple Juice (Canned or Bottled),Jus de pomme (en conserve ou en bouteille),1 cup,1 tasse,117,0.27,0.047,-,0.082,0.012,0,7,28.97,0.2,27.03,0.15,-,17,0.92,295,0,2.2,100 g,47,0.11,0.019,-,0.033,0.005,0,3,11.68,0.1,10.9,0.06,-,7,0.37,119,0,0.9
Apple Juice (Frozen Concentrate Diluted with Water),Jus de pomme (concentré congelé dilué avec de l'eau),1 cup,1 tasse,112,0.24,0.043,-,0.074,0.005,0,17,27.58,0.2,26.12,0.33,-,14,0.62,301,0,1.4,100 g,47,0.1,0.018,-,0.031,0.002,0,7,11.54,0.1,10.93,0.14,-,6,0.26,126,0,0.6
Apple Juice Drink,Boisson au jus de pomme,1 cup,1 tasse,125,0.07,0.012,-,0.02,0.002,0,5,32.27,0,31.77,0.05,-,8,0.22,75,0,83,100 g,50,0.03,0.005,-,0.008,0.001,0,2,12.91,0,12.71,0.02,-,3,0.09,30,0,33.2
Apple Pie,Tarte aux pommes,"1 piece (1/8 of 9"" dia)","1 pièce (1/8 de 9"" de diamètre)",411,19.38,4.728,-,5.174,8.359,0,327,57.5,-,-,3.72,-,11,1.74,122,17,2.6,100 g,265,12.5,03.05,-,3.338,5.393,0,211,37.1,-,-,2.4,-,7,1.12,79,11,1.7
Apple Pie (Individual Size or Tart),Tarte aux pommes (format individuel ou tarte),1 tart,1 tarte,360,18.05,3.606,-,5.608,7.917,0,371,47.07,1.4,19.82,3.53,-,7,1.58,67,1,1.2,100 g,308,15.43,3.082,-,4.793,6.767,0,317,40.23,1.2,16.94,03.02,-,6,1.35,57,1,1
Apple Pie (One Crust),Tarte aux pommes (une croûte),"1 piece (1/8 of 9"" dia)","1 pièce (1/8 de 9"" de diamètre)",363,13.88,2.757,-,4.293,6.097,0,293,58.53,1.6,36.25,2.72,-,7,1.2,84,12,2.3,100 g,242,9.25,1.838,-,2.862,4.065,0,195,39.02,1.1,24.17,1.81,-,5,0.8,56,8,1.5
Apple Pie (Two Crust),Tarte aux pommes (deux croûtes),"1 piece (1/8 of 9"" dia)","1 pièce (1/8 de 9"" de diamètre)",356,16.5,5.696,-,3.297,6.582,0,399,51,2.4,23.48,2.85,-,16,0.68,98,48,4.8,100 g,237,11,3.797,-,2.198,4.388,0,266,34,1.6,15.65,1.9,-,11,0.45,65,32,3.2
Apple Strawberry Granola,Granola Pommes Fraises,1/2 cup,1/2 tasse,180,2.50,0.000,0.000,-,-,0,10,35.00,4.0,8.00,5.00,-,-,-,-,-,-,1/2 cup,180,2.50,0.000,0.000,-,-,0,10,35.00,4.0,8.00,5.00,-,-,-,-,-,-
Apple Strudel,Strudel aux pommes,"1 piece (approx 2"" - 2-1/2"" square)","1 pièce (environ 2"" - 2-1/2"" carré)",175,7.17,1.308,-,3.402,2.091,4,172,26.3,1.4,16.48,2.11,-,10,0.27,95,4,1.1,100 g,274,11.2,2.044,-,5.315,3.267,6,269,41.1,2.2,25.75,3.3,-,15,0.42,149,6,1.7
Apple Strudel Scone,Scone de strudel aux pommes,1 package (57 g),1 paquet (57 g),160,2.50,1.500,-,-,-,15,270,26.00,6.0,9.00,7.00,-,-,-,-,-,-,1 package (57 g),160,2.50,1.500,-,-,-,15,270,26.00,6.0,9.00,7.00,-,-,-,-,-,-
Apple Turnover or Dumpling,Chausson aux pommes ou Dumpling,1 turnover,1 chiffre d'affaires,285,14.78,2.95,-,4.592,6.493,0,265,35.75,1.1,12.98,2.98,-,6,1.33,51,3,0.7,100 g,348,18.03,3.598,-,5.6,7.918,0,323,43.6,1.3,15.83,3.64,-,7,1.62,62,4,0.8
Apples,Pommes,"1 medium (2-3/4"" dia) (approx 3 per lb)","1 moyen (2-3/4"" de diamètre) (environ 3 par livre)",72,0.23,0.039,-,0.07,0.01,0,1,19.06,3.3,14.34,0.36,-,8,0.17,148,4,6.3,100 g,52,0.17,0.028,-,0.051,0.007,0,1,13.81,2.4,10.39,0.26,-,6,0.12,107,3,4.6
Apples (Without Skin),Pommes (sans peau),100 g,100g,48,0.13,0.021,-,0.037,0.005,0,0,12.76,1.3,10.1,0.27,-,5,0.07,90,2,4,100 g,48,0.13,0.021,-,0.037,0.005,0,0,12.76,1.3,10.1,0.27,-,5,0.07,90,2,4
Applesauce,Compote de pommes,1 snack size (4 oz),1 format de collation (4 oz),86,0.2,0.034,-,0.061,0.008,0,3,22.5,1.4,18.64,0.2,-,5,0.4,69,1,1.9,100 g,76,0.18,0.03,-,0.054,0.007,0,3,19.91,1.2,16.5,0.18,-,4,0.35,61,1,1.7
Applesauce Unsweetened,Compote de pommes non sucrée,1 snack size (4 oz),1 format de collation (4 oz),49,0.06,0.009,-,0.016,0.002,0,2,12.76,1.4,11.4,0.19,-,3,0.14,85,1,1.4,100 g,43,0.05,0.008,-,0.014,0.002,0,2,11.29,1.2,10.09,0.17,-,3,0.12,75,1,1.2
Applesauce with other Fruits,Compote de pommes avec d'autres fruits,1 cup,1 tasse,202,0.49,0.072,-,0.156,0.026,0,8,52.56,3.1,44.08,0.56,-,13,0.9,172,3,15.9,100 g,79,0.19,0.028,-,0.061,0.01,0,3,20.53,1.2,17.22,0.22,-,5,0.35,67,1,6.2
Applesauce with Sugar,Compote de pommes au sucre,1 cup of sauce,1 tasse de sauce,194,0.46,0.076,-,0.138,0.018,0,8,50.77,3.1,42.08,0.46,-,10,0.89,156,3,4.3,100 g,76,0.18,0.03,-,0.054,0.007,0,3,19.91,1.2,16.5,0.18,-,4,0.35,61,1,1.7
Apricot Cobbler,Cordonnier aux abricots,1 cup,1 tasse,408,9.53,1.988,-,2.799,4.071,2,304,77.58,3.9,48.76,5.71,-,139,2.1,417,119,10.6,100 g,188,4.39,0.916,-,1.29,1.876,1,140,35.75,1.8,22.47,2.63,-,64,0.97,192,55,4.9
Apricot Nectar,Nectar d'abricot,1 cup,1 tasse,141,0.23,0.015,-,0.043,0.095,0,8,36.12,1.5,34.61,0.93,-,18,0.95,286,166,1.5,100 g,56,0.09,0.006,-,0.017,0.038,0,3,14.39,0.6,13.79,0.37,-,7,0.38,114,66,0.6
Apricots,Abricots,1 apricot,1 abricot,17,0.14,0.009,-,0.027,0.06,0,0,3.89,0.7,3.23,0.49,-,5,0.14,91,34,3.5,100 g,48,0.39,0.027,-,0.077,0.17,0,1,11.12,2,9.24,1.4,-,13,0.39,259,96,10
Apricots (Solids and Liquids with Skin Extra Light Syrup Pack Canned),Abricots (solides et liquides avec sirop extra léger pour la peau en conserve),1 cup of halves,1 tasse de moitiés,121,0.25,0.017,-,0.049,0.106,0,5,30.88,4,-,1.48,-,25,0.74,346,158,9.9,100 g,49,0.1,0.007,-,0.02,0.043,0,2,12.5,1.6,-,0.6,-,10,0.3,140,64,4
Apricots (Solids and Liquids with Skin Juice Pack Canned),Abricots (solides et liquides avec jus de peau en conserve),1 cup of halves,1 tasse de moitiés,117,0.1,0.007,-,0.017,0.041,0,10,30.11,3.9,26.21,1.54,-,29,0.73,403,207,12,100 g,48,0.04,0.003,-,0.007,0.017,0,4,12.34,1.6,10.74,0.63,-,12,0.3,165,85,4.9
Apricots (Solids and Liquids with Skin Water Pack Canned),Abricots (solides et liquides avec pack d'eau cutanée en conserve),1 cup of halves,1 tasse de moitiés,66,0.39,0.027,-,0.075,0.168,0,7,15.53,3.9,11.64,1.73,-,19,0.78,467,238,8.3,100 g,27,0.16,0.011,-,0.031,0.069,0,3,6.39,1.6,4.79,0.71,-,8,0.32,192,98,3.4
Artichoke & Cheese Calzone,Calzone aux artichauts et au fromage,1 calzone,1 calzone,380,16.00,6.000,0.000,-,-,25,670,40.00,4.0,2.00,17.00,-,-,-,-,-,-,1 calzone,380,16.00,6.000,0.000,-,-,25,670,40.00,4.0,2.00,17.00,-,-,-,-,-,-
Artichoke Hearts in Oil,Coeurs d'artichauts à l'huile,1 heart,1 coeur,33,2.35,0.329,-,0.261,1.688,0,24,2.87,1.4,0.25,0.89,-,12,0.34,91,2,2.6,100 g,119,8.4,1.174,-,0.931,6.028,0,87,10.26,5,0.91,3.19,-,41,1.23,325,8,9.2
Artichokes (Globe or French),Artichauts (Globe ou Français),1 medium,1 médium,60,0.19,0.046,-,0.082,0.006,0,120,13.45,6.9,-,4.19,-,56,1.64,474,12,15,100 g,47,0.15,0.036,-,0.064,0.005,0,94,10.51,5.4,-,3.27,-,44,1.28,370,9,11.7
Arugula Lettuce,Laitue roquette,1 cup,1 tasse,5,0.13,0.017,-,0.064,0.01,0,5,0.73,0.3,0.41,0.52,-,32,0.29,74,24,3,100 g,25,0.66,0.086,-,0.319,0.049,0,27,3.65,1.6,02.05,2.58,-,160,1.46,369,119,15
Asian Pears,Poires asiatiques,"1 fruit 2-1/4"" high x 2-1/2"" dia","1 fruit 2-1/4"" de haut x 2-1/2"" de diamètre",51,0.28,0.015,-,0.067,0.06,0,0,12.99,4.4,8.6,0.61,-,5,0,148,0,4.6,100 g,42,0.23,0.012,-,0.055,0.049,0,0,10.65,3.6,07.05,0.5,-,4,0,121,0,3.8
Asparagus,Asperges,1 cup,1 tasse,27,0.16,0.062,-,0.118,0.008,0,3,5.2,2.8,2.52,2.95,-,32,2.87,271,51,7.5,100 g,20,0.12,0.046,-,0.088,0.006,0,2,3.88,2.1,1.88,2.2,-,24,2.14,202,38,5.6
Asparagus (Drained Solids Canned),Asperges (solides égouttés en conserve),"1 spear (about 5"" long)","1 lance (environ 5"" de long)",3,0.12,0.026,-,0.051,0.004,0,52,0.44,0.3,0.19,0.39,-,3,0.33,31,7,3.3,100 g,19,0.65,0.147,-,0.284,0.021,0,287,2.46,1.6,01.06,2.14,-,16,1.83,172,41,18.4
Asparagus (Solids and Liquids Canned),Asperges (solides et liquides en conserve),1/2 cup,1/2 tasse,18,0.22,0.054,-,0.104,0.007,0,346,03.01,1.2,-,2.2,-,18,0.73,210,32,20.1,100 g,15,0.18,0.044,-,0.085,0.006,0,284,2.47,1,-,1.8,-,15,0.6,172,26,16.5
Asparagus (Unprepared Frozen),"Asperges (non préparées, surgelées)",100 g,100g,24,0.23,0.052,-,0.101,0.007,0,8,4.1,1.9,-,3.23,-,25,0.73,253,47,31.8,100 g,24,0.23,0.052,-,0.101,0.007,0,8,4.1,1.9,-,3.23,-,25,0.73,253,47,31.8
Asparagus Risotto,Risotto aux asperges,1 cup (140 g),1 tasse (140 g),150,4.50,2.000,0.000,0.000,0.000,10,470,24.00,1.0,2.00,-,-,-,-,-,-,-,1 cup (140 g),150,4.50,2.000,0.000,0.000,0.000,10,470,24.00,1.0,2.00,-,-,-,-,-,-,-
